title,author,length
In Trump Time,Peter Navarro,Length: 9 hrs and 14 mins
Reaper,Will Wight,Length: 13 hrs and 7 mins
Fallout,Craig Alanson,Length: 23 hrs and 53 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
Return of the Dragon Slayers,Brandon Mull,Length: 16 hrs and 50 mins
The Dying Citizen,Victor Davis Hanson,Length: 15 hrs and 7 mins
Seventh Realm Part 1,Michael Chatfield,Length: 23 hrs and 21 mins
Archangelâ€™s Light,Nalini Singh,Length: 11 hrs and 23 mins
Letters to a Young Therapist,Mary Pipher,Length: 4 hrs and 54 mins
Blessed Time 2,Cale Plamann,Length: 12 hrs and 54 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 23 hrs and 19 mins
The Storyteller,Dave Grohl,Length: 10 hrs and 35 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Going There,Katie Couric,Length: 15 hrs and 27 mins
Black Sand Baron,"Kyle Kirrin,Portal Books",Length: 20 hrs and 1 min
Act Like You Got Some Sense,Jamie Foxx,Length: 5 hrs and 47 mins
Hostile Takeover,Lucy Lennox,Length: 8 hrs and 56 mins
Bad Republican,Meghan McCain,Length: 5 hrs and 16 mins
The High 5 Habit,Mel Robbins,Length: 6 hrs and 57 mins
